time,ni_in,fe_in,sio2_in,cao_in,mgo_in,al2o3_in,fe_ni,s_m,bc,loi_in,mc_kilnfeed,fc_coal,gcv_coal,voltage_pry,voltage_sec,current_pry,current_sec1,current_sec2,current_sec3,load,power_factor,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,a_f_ratio,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2024-07-31 01:00:00,1.94,16.73,35.36,2.26,13.76,1.92,8.623711,2.569767,0.434793,,21.58,,,29.7,29.7,20.48,21.2,22.0,21.3,33.8,-0.99,33.462,0.87696,35.4,101.58,79.659036,419.6,102.9,94.2,405.3,3600.0,3600.0,8.325,5.318,962.212585,776.629639,1525.0,15.38,1.29,1.21,80.429,1.691,0.05,7.11,656.996216,-3.422737,
2024-07-31 02:00:00,1.86,15.85,37.38,2.27,14.88,1.96,8.521505,2.512097,0.441451,,21.58,,,28.9,718.8,20.48,21.6,21.0,21.2,33.5,-0.99,33.165,0.87777,37.5,101.33,79.462986,416.5,100.8,93.5,401.8,3800.0,3800.0,7.820526,5.352,961.979919,826.95343,1525.0,15.38,1.29,1.21,80.429,1.691,0.05,7.11,680.298889,-2.893074,
2024-07-31 03:00:00,1.86,15.85,37.38,2.27,14.88,1.96,8.521505,2.512097,0.441451,,21.58,,,29.7,698.3,20.48,21.1,21.7,20.3,32.4,-0.99,32.076,0.882225,34.7,100.83,79.070886,396.0,95.7,91.4,394.5,3500.0,3500.0,8.329714,5.329,952.575684,792.852905,1525.0,15.38,1.29,1.21,80.429,1.691,0.05,7.11,693.220459,-2.662573,
2024-07-31 04:00:00,1.86,15.85,37.38,2.27,14.88,1.96,8.521505,2.512097,0.441451,,21.58,,,29.9,697.7,20.48,21.1,15.4,21.0,33.5,-0.99,33.165,0.87615,39.1,101.68,79.737456,381.2,91.4,89.4,386.3,3600.0,3600.0,7.928333,5.383,953.252808,782.994507,1530.0,15.38,1.29,1.21,80.429,1.691,0.06,7.02,647.063293,-3.035434,
2024-07-31 05:00:00,1.86,15.85,37.38,2.27,14.88,1.96,8.521505,2.512097,0.441451,,21.58,,,29.9,679.7,20.48,21.1,15.5,21.0,33.9,-0.99,33.561,0.87426,37.7,99.96,78.388632,420.2,93.4,94.3,394.5,3800.0,3800.0,7.717895,5.673,944.771118,795.5672,1530.0,15.75,1.22,1.29,80.053,1.687,0.06,7.02,653.873535,-3.635296,
2024-07-31 06:00:00,2.08,15.29,38.09,2.21,15.49,1.82,7.350962,2.459006,0.448112,,21.58,,,29.8,726.5,20.48,23.0,21.7,16.9,33.5,-1.0,33.5,0.87561,35.9,99.37,77.925954,371.9,87.8,88.2,378.3,3500.0,3500.0,7.997143,5.653,940.3125,818.384216,1530.0,15.75,1.22,1.29,80.053,1.687,0.06,7.02,682.386353,-2.763383,
2024-07-31 07:00:00,2.08,15.29,38.09,2.21,15.49,1.82,7.350962,2.459006,0.448112,,21.58,,,29.7,715.5,20.48,21.5,19.9,19.5,33.6,-0.1,3.36,0.881685,36.0,99.47,78.004374,350.2,82.1,85.8,368.2,3400.0,3400.0,8.011765,5.628,935.396057,787.79895,1530.0,15.75,1.22,1.29,80.053,1.687,0.06,7.02,705.419312,-2.903097,
2024-07-31 08:00:00,2.08,15.29,38.09,2.21,15.49,1.82,7.350962,2.459006,0.448112,,21.58,,,29.7,687.3,20.48,21.0,21.4,23.0,33.7,-1.0,33.7,0.878985,36.4,99.37,77.925954,354.6,79.1,85.9,362.9,3500.0,3500.0,7.693714,5.687,936.973083,772.048889,1528.0,15.71,1.26,1.28,80.007,1.743,0.05,6.98,659.07843,-3.086246,0.9
2024-07-31 09:00:00,2.08,15.29,38.09,2.21,15.49,1.82,7.350962,2.459006,0.448112,,22.24,,,29.7,783.2,20.48,21.1,21.8,20.0,35.0,0.99,34.65,0.09612,0.0,19.92,15.489792,8.2,43.6,19.3,277.0,2000.0,2000.0,8.889,0.0,746.645996,693.592346,1528.0,15.74,1.24,1.25,80.086,1.684,0.05,6.98,620.804504,-5.007541,0.9
2024-07-31 10:00:00,2.03,16.62,34.94,1.75,15.12,1.7,8.187192,2.310847,0.468517,,22.24,,,29.7,749.0,20.48,23.3,22.1,20.1,36.8,-0.99,36.432,0.40041,69.9,19.93,15.497568,54.7,50.4,34.9,293.0,2300.0,2300.0,8.553913,2.685,816.654358,786.175537,1528.0,15.74,1.24,1.25,80.086,1.684,0.05,6.98,612.032959,-3.281965,0.9
2024-07-31 11:00:00,2.03,16.62,34.94,1.75,15.12,1.7,8.187192,2.310847,0.468517,,22.24,,,30.2,532.5,17.87,21.0,19.6,20.4,30.2,-0.99,29.898,0.41121,66.3,38.61,30.023136,39.5,47.0,31.2,283.0,2400.0,2400.0,7.855,2.343,845.77655,782.851318,1528.0,15.74,1.24,1.25,80.086,1.684,0.05,6.98,660.119629,-5.028225,0.9
2024-07-31 12:00:00,2.03,16.62,34.94,1.75,15.12,1.7,8.187192,2.310847,0.468517,,22.24,,,29.9,531.3,17.87,21.9,21.4,21.4,24.2,-0.99,23.958,0.09585,0.0,0.0,0.0,10.3,40.6,19.5,270.9,1600.0,1600.0,10.89,0.0,718.760986,711.709534,1528.0,15.74,1.24,1.25,80.086,1.684,0.05,6.98,698.171814,-4.509876,0.9
2024-07-31 13:00:00,2.03,16.62,34.94,1.75,15.12,1.7,8.187192,2.310847,0.468517,,21.55,,,29.9,538.2,17.87,22.7,19.1,20.1,24.1,-0.99,23.859,0.095985,0.0,0.0,0.0,7.7,38.2,19.4,270.8,1600.0,1600.0,10.8825,0.0,618.020325,639.500305,1528.0,15.74,1.24,1.25,80.086,1.684,0.05,6.98,706.564758,-5.895933,0.9
2024-07-31 14:00:00,2.09,16.8,33.01,3.5,14.16,1.86,8.038278,2.331215,0.504696,,21.55,,,30.1,246.9,17.87,18.9,18.6,17.2,13.6,-0.96,13.056,-0.001485,0.0,0.0,0.0,8.3,37.7,19.4,270.1,0.0,0.0,,0.0,533.368469,496.395325,1545.0,15.74,1.24,1.25,80.086,1.684,0.04,5.73,678.308655,-7.138705,0.9
